FrameNumber;Time(ms);xAngle(°);yAngle(°);zAngle(°)
608;6905;33;5;3;
609;6915;32;5;3;
610;6928;31;5;3;
611;6937;30;5;3;
612;6948;30;5;3;
613;6959;29;5;3;
614;6967;28;5;3;
615;6981;28;6;3;
616;6996;27;6;3;
617;7006;26;6;3;
618;7018;26;6;3;
619;7030;25;6;3;
620;7039;24;7;3;
621;7049;23;7;3;
622;7061;23;7;3;
623;7070;23;7;3;
624;7082;23;7;3;
625;7093;22;7;3;
626;7102;22;7;3;
627;7115;21;7;3;
628;7125;20;7;3;
629;7135;19;6;3;
630;7148;18;6;3;
631;7158;18;6;2;
632;7169;18;6;2;
633;7182;17;6;2;
634;7192;16;6;2;
635;7202;15;6;2;
636;7215;14;6;2;
637;7226;13;6;2;
638;7235;13;6;2;
639;7248;12;6;2;
640;7258;12;6;1;
641;7271;11;5;1;
642;7282;10;5;1;
643;7291;10;5;1;
644;7303;9;5;1;
645;7316;8;5;1;
646;7327;8;5;1;
647;7336;7;5;1;
648;7349;7;4;1;
649;7358;6;4;1;
650;7369;6;4;1;
651;7383;5;3;0;
652;7397;5;3;0;
653;7405;4;3;0;
654;7416;4;3;0;
655;7426;3;3;0;
656;7436;3;3;0;
657;7449;2;3;0;
658;7459;2;3;0;
659;7472;1;3;0;
660;7483;1;3;0;
661;7498;0;3;0;
662;7506;0;3;0;
663;7517;0;3;0;
664;7526;0;3;0;
665;7537;359;2;0;
666;7551;359;2;0;
667;7559;358;2;0;
668;7571;358;2;0;
669;7583;357;1;0;
670;7597;357;1;0;
671;7605;357;1;0;
672;7617;357;1;0;
673;7626;357;1;0;
674;7638;356;1;0;
675;7651;356;1;0;
676;7662;356;1;0;
677;7673;356;1;0;
678;7684;356;1;0;
679;7693;357;1;0;
680;7705;357;1;0;
681;7718;358;1;0;
682;7728;358;1;0;
683;7738;357;1;0;
684;7751;357;1;0;
685;7760;357;1;0;
686;7772;357;1;0;
687;7785;357;1;0;
688;7798;357;1;0;
689;7807;357;1;0;
690;7818;357;1;0;
691;7828;357;1;0;
692;7839;357;1;0;
693;7852;356;1;0;
694;7862;356;1;0;
695;7872;356;1;0;
696;7886;356;1;0;
697;7895;355;1;0;
698;7906;355;1;0;
699;7919;355;1;0;
700;7930;355;1;0;
701;7939;355;0;0;
702;7952;355;0;0;
703;7961;355;0;0;
704;7973;355;0;0;
705;7986;355;0;0;
706;7996;355;0;0;
707;8006;355;0;0;
708;8020;355;0;0;
709;8028;355;0;0;
710;8039;355;0;0;
711;8052;355;0;0;
712;8063;355;0;0;
713;8073;355;0;0;
714;8088;355;0;0;
715;8096;354;0;0;
716;8106;354;0;0;
717;8120;354;0;0;
718;8130;354;0;0;
719;8140;353;0;0;
720;8153;353;0;0;
