FrameNumber;Time(ms);xAngle(°);yAngle(°);zAngle(°)
588;6794;3;359;358;
589;6814;3;359;358;
590;6829;3;0;358;
591;6844;3;0;358;
592;6861;3;0;358;
593;6873;3;0;358;
594;6885;3;0;358;
595;6901;3;0;358;
596;6919;3;0;358;
597;6931;3;0;358;
598;6943;3;0;358;
599;6968;3;0;358;
600;6995;3;0;358;
601;7015;3;0;358;
602;7024;3;0;358;
603;7038;3;0;358;
604;7051;3;0;358;
605;7066;3;0;358;
606;7078;3;0;358;
607;7087;3;0;358;
608;7100;3;0;358;
609;7118;3;0;358;
610;7134;3;0;358;
611;7146;3;0;358;
612;7159;3;0;358;
613;7179;3;0;358;
614;7203;3;0;358;
615;7238;3;0;358;
