FrameNumber;Time(ms);xAngle(°);yAngle(°);zAngle(°)
362;4139;359;80;7;
363;4150;359;78;7;
364;4165;359;77;7;
365;4174;359;76;7;
366;4184;359;75;6;
367;4197;359;73;6;
368;4206;359;72;6;
369;4217;359;71;6;
370;4230;359;70;6;
371;4240;359;69;6;
372;4251;359;67;6;
373;4264;359;66;6;
374;4273;359;65;6;
375;4284;359;64;6;
376;4297;359;63;6;
377;4307;359;62;5;
378;4318;359;61;6;
379;4331;359;59;6;
380;4341;359;58;5;
381;4351;359;57;5;
382;4366;359;56;5;
383;4376;359;55;5;
384;4385;359;54;6;
385;4399;359;53;6;
386;4407;359;52;6;
387;4418;359;51;5;
388;4432;0;50;5;
389;4441;0;49;5;
390;4452;0;48;5;
391;4465;0;47;5;
392;4475;0;46;5;
393;4486;0;45;5;
394;4499;0;44;6;
395;4509;0;43;6;
396;4519;359;42;6;
397;4534;359;41;6;
398;4542;359;40;6;
399;4552;359;40;6;
400;4568;359;39;6;
401;4579;359;38;6;
402;4588;359;37;6;
403;4599;359;36;6;
404;4608;359;35;6;
405;4621;359;34;6;
406;4633;359;33;6;
407;4644;359;32;6;
408;4653;359;31;6;
409;4666;359;30;6;
410;4675;359;29;6;
411;4686;359;28;6;
412;4699;359;27;6;
413;4713;359;26;6;
414;4720;359;25;6;
415;4733;359;24;7;
416;4742;359;23;7;
417;4753;359;22;7;
418;4768;359;22;7;
419;4779;359;21;7;
420;4787;359;20;7;
421;4801;359;19;7;
422;4809;359;18;7;
423;4820;359;17;7;
424;4834;359;16;7;
425;4846;359;15;7;
426;4854;359;14;7;
427;4867;359;13;7;
428;4877;359;12;7;
429;4887;359;11;7;
430;4901;359;10;7;
431;4910;359;10;7;
432;4921;359;9;7;
433;4934;359;8;7;
434;4943;359;7;7;
435;4955;359;7;7;
436;4969;359;6;7;
437;4977;359;5;7;
438;4988;359;5;7;
439;5001;359;4;7;
440;5010;359;4;7;
441;5021;359;3;7;
442;5035;0;3;7;
443;5046;0;2;7;
444;5055;0;2;7;
445;5068;0;1;7;
446;5077;359;1;7;
447;5088;359;0;7;
448;5101;359;0;7;
449;5111;359;359;7;
450;5123;359;359;7;
451;5137;359;358;6;
452;5145;359;358;6;
453;5155;359;358;6;
454;5170;359;357;6;
455;5178;359;357;6;
456;5189;359;357;6;
457;5202;359;357;6;
458;5213;359;357;6;
459;5222;359;356;6;
460;5235;359;356;6;
461;5245;359;356;6;
462;5256;358;356;6;
463;5269;358;356;6;
464;5278;358;356;6;
465;5289;359;356;6;
466;5303;359;356;6;
467;5312;359;356;6;
468;5323;359;356;6;
469;5336;359;356;6;
470;5349;359;356;6;
471;5357;359;356;6;
472;5372;359;356;6;
473;5379;359;356;6;
474;5390;359;356;6;
475;5403;359;356;5;
476;5412;359;356;5;
477;5423;359;356;5;
478;5437;359;356;5;
479;5446;359;356;5;
480;5457;358;356;5;
481;5470;358;356;5;
482;5479;358;356;5;
483;5490;358;356;5;
484;5505;358;356;5;
485;5513;359;356;5;
486;5524;359;357;5;
487;5537;359;357;5;
488;5546;359;357;5;
489;5557;358;357;5;
490;5572;358;357;5;
491;5580;358;357;5;
492;5591;358;357;5;
493;5605;358;357;5;
494;5613;358;357;5;
495;5626;358;357;5;
496;5638;358;357;5;
497;5647;358;357;5;
498;5658;358;357;5;
499;5672;358;357;5;
500;5680;358;357;5;
501;5696;358;357;5;
502;5704;358;357;5;
503;5714;358;357;5;
504;5725;358;357;5;
505;5739;358;357;5;
506;5747;358;357;5;
507;5758;358;357;5;
508;5773;358;357;5;
509;5784;358;357;5;
